ImageSize,Schedule,Threads,Sequential,Parallel,Speedup,Efficiency
256,static,1,0.0211186,0.0166252,1.27028,127.028
512,static,1,0.0845609,0.0662818,1.27578,127.578
1024,static,1,0.338225,0.26304,1.28583,128.583
2048,static,1,1.36958,1.08001,1.26813,126.813
4096,static,1,5.53048,4.38146,1.26225,126.225
256,static,2,0.0230049,0.0122882,1.87211,93.6054
512,static,2,0.0920965,0.0346341,2.65913,132.956
1024,static,2,0.337969,0.134849,2.50628,125.314
2048,static,2,1.40115,0.562135,2.49256,124.628
4096,static,2,5.50769,2.28654,2.40874,120.437
256,static,3,0.0219901,0.0175623,1.25212,41.7372
512,static,3,0.0850254,0.0580047,1.46584,48.8613
1024,static,3,0.342807,0.215581,1.59015,53.005
2048,static,3,1.44914,0.91854,1.57766,52.5885
4096,static,3,5.76262,3.59338,1.60368,53.4559
256,static,4,0.0213325,0.00724144,2.94589,73.6473
512,static,4,0.0967314,0.0350978,2.75606,68.9014
1024,static,4,0.351626,0.137568,2.55601,63.9002
2048,static,4,1.4401,0.498116,2.89109,72.2772
4096,static,4,5.75643,2.0759,2.77298,69.3245
256,static,5,0.0257456,0.0111693,2.30502,46.1004
512,static,5,0.0966771,0.0461275,2.09587,41.9173
1024,static,5,0.37888,0.180829,2.09524,41.9049
2048,static,5,1.50187,0.727848,2.06344,41.2688
4096,static,5,6.01568,2.93252,2.05137,41.0274
256,static,6,0.029622,0.00893046,3.31697,55.2828
512,static,6,0.100573,0.0311741,3.22618,53.7697
1024,static,6,0.380476,0.129218,2.94445,49.0741
2048,static,6,1.56432,0.490298,3.19055,53.1759
4096,static,6,6.22373,1.98271,3.139,52.3166
